bay_id,st_marker_id,status,location,lat,lon
629,89W,Unoccupied,"(-37.80888641115215, 144.97177809248228)",-37.80888641115215,144.97177809248228
2235,3920N,Unoccupied,"(-37.81210381814597, 144.9549497590006)",-37.81210381814597,144.9549497590006
2031,3490N,Unoccupied,"(-37.81248535670949, 144.95765771835778)",-37.81248535670949,144.95765771835778
2258,3955S,Present,"(-37.81270919256484, 144.95330121630298)",-37.81270919256484,144.95330121630298
5461,11876E,Unoccupied,"(-37.81069143350461, 144.97829825096989)",-37.81069143350461,144.97829825096989
6000,4008N,Unoccupied,"(-37.812987847952414, 144.95173638592152)",-37.812987847952414,144.95173638592152
596,43W,Unoccupied,"(-37.812787598671235, 144.97357097677678)",-37.812787598671235,144.97357097677678
1028,1194E,Unoccupied,"(-37.81327120763993, 144.960034862076)",-37.81327120763993,144.960034862076
1857,2585S,Unoccupied,"(-37.81452756913235, 144.95845977633456)",-37.81452756913235,144.95845977633456
2368,3105S,Unoccupied,"(-37.81365938798581, 144.95785706217947)",-37.81365938798581,144.95785706217947
6559,13780E,Unoccupied,"(-37.81283643789138, 144.93899246408262)",-37.81283643789138,144.93899246408262
6560,13782E,Unoccupied,"(-37.81278165170125, 144.9389593236637)",-37.81278165170125,144.9389593236637
5259,4517W,Unoccupied,"(-37.81114875079743, 144.95318599123723)",-37.81114875079743,144.95318599123723
2568,C3126,Unoccupied,"(-37.813526021826746, 144.95799921182322)",-37.813526021826746,144.95799921182322
1026,1188E,Unoccupied,"(-37.81336912163323, 144.96007932477016)",-37.81336912163323,144.96007932477016
1272,4464E,Present,"(-37.81365261136899, 144.9545957601222)",-37.81365261136899,144.9545957601222
1111,C1138,Present,"(-37.814327985862604, 144.96039043477367)",-37.814327985862604,144.96039043477367
5248,11521S,Unoccupied,"(-37.811825749221, 144.95214162680563)",-37.811825749221,144.95214162680563
6131,C13628,Unoccupied,"(-37.819673337996456, 144.94435930939085)",-37.819673337996456,144.94435930939085
3202,5459W,Present,"(-37.80751769945108, 144.95434774188993)",-37.80751769945108,144.95434774188993
2234,3918N,Present,"(-37.812085652084235, 144.9550140018767)",-37.812085652084235,144.9550140018767
6107,C13524,Unoccupied,"(-37.81928017725923, 144.94572153329142)",-37.81928017725923,144.94572153329142
3330,6014N,Unoccupied,"(-37.81015790468105, 144.95749072689276)",-37.81015790468105,144.95749072689276
1539,1906N,Present,"(-37.8144263954724, 144.96990710114474)",-37.8144263954724,144.96990710114474
6572,13840N,Unoccupied,"(-37.8127184772563, 144.94013826160312)",-37.8127184772563,144.94013826160312
3261,5814E,Present,"(-37.80696745663332, 144.95348587919312)",-37.80696745663332,144.95348587919312
5804,12536N,Unoccupied,"(-37.8157464614875, 144.98034187475793)",-37.8157464614875,144.98034187475793
6836,14032E,Present,"(-37.7968606347639, 144.95811976545775)",-37.7968606347639,144.95811976545775
1867,2599S,Unoccupied,"(-37.81489752425557, 144.95716502227475)",-37.81489752425557,144.95716502227475
6436,13699W,Present,"(-37.81980503575675, 144.94590963084886)",-37.81980503575675,144.94590963084886
5482,11887W,Unoccupied,"(-37.81055294183621, 144.97808174414126)",-37.81055294183621,144.97808174414126
1263,4455W,Unoccupied,"(-37.814009141193395, 144.9545079009563)",-37.814009141193395,144.9545079009563
1771,2400N,Unoccupied,"(-37.81479691386167, 144.9610038934586)",-37.81479691386167,144.9610038934586
2455,C2788,Unoccupied,"(-37.81032080336628, 144.96894664543163)",-37.81032080336628,144.96894664543163
6129,C13620,Unoccupied,"(-37.81965646547027, 144.94441725706724)",-37.81965646547027,144.94441725706724
2275,3979S,Unoccupied,"(-37.81294763012847, 144.95245757227627)",-37.81294763012847,144.95245757227627
2306,2843S,Present,"(-37.81063763930144, 144.9682147683588)",-37.81063763930144,144.9682147683588
2363,3095S,Unoccupied,"(-37.813552382566165, 144.95822787806935)",-37.813552382566165,144.95822787806935
3328,6012N,Present,"(-37.81014027037214, 144.95755226732797)",-37.81014027037214,144.95755226732797
6323,13403W,Present,"(-37.82141258356655, 144.951144660865)",-37.82141258356655,144.951144660865
2236,3922N,Unoccupied,"(-37.81212183566778, 144.95488565311987)",-37.81212183566778,144.95488565311987
5476,11875W,Unoccupied,"(-37.81134423111611, 144.9779505091168)",-37.81134423111611,144.9779505091168
1960,3340N,Unoccupied,"(-37.808914159783264, 144.96986563417954)",-37.808914159783264,144.96986563417954
2357,3087S,Unoccupied,"(-37.81347987252978, 144.95847856491915)",-37.81347987252978,144.95847856491915
6877,14201W,Present,"(-37.79642887170563, 144.96458807251594)",-37.79642887170563,144.96458807251594
5231,11516N,Present,"(-37.811791648720245, 144.95184518661557)",-37.811791648720245,144.95184518661557
5615,12249S,Unoccupied,"(-37.80958212113774, 144.97513874985412)",-37.80958212113774,144.97513874985412
6614,13857S,Present,"(-37.814049946306, 144.94173569566175)",-37.814049946306,144.94173569566175
1114,C1144,Present,"(-37.814260020397086, 144.96035910621288)",-37.814260020397086,144.96035910621288
